urbs_name,battery_private.c,heat_storage.c,mobility_storage.c,battery_private.p,heat_storage.p,mobility_storage.p
Consumer Nodebus 6,,,,,,
Consumer Nodebus 9,,,,,,
Consumer Nodebus 12,,,,,,
Consumer Nodebus 14,,,,,,
Consumer Nodebus 16,,,,,,
Consumer Nodebus 19,,,,,,
Consumer Nodebus 23,,,,,,
Consumer Nodebus 25,,,,,,
Consumer Nodebus 28,,,,,,
Consumer Nodebus 30,,,,,,
Consumer Nodebus 32,,,,,,
Consumer Nodebus 34,,,,,,
Consumer Nodebus 36,,,,,,
Consumer Nodebus 39,,,,,,
Consumer Nodebus 41,,,,,,
Consumer Nodebus 43,,,,,,
Consumer Nodebus 45,,,,,,
Consumer Nodebus 47,,,,,,
Consumer Nodebus 49,,,,,,
Consumer Nodebus 51,,,,,,
Consumer Nodebus 53,,,,,,
Consumer Nodebus 56,,,,,,
Consumer Nodebus 58,,,,,,
Consumer Nodebus 61,,,,,,
Consumer Nodebus 63,,,,,,
Consumer Nodebus 65,,,,,,
Consumer Nodebus 67,,,,,,
Consumer Nodebus 69,,,,,,
Consumer Nodebus 72,,,,,,
Consumer Nodebus 74,,,,,,
Consumer Nodebus 76,,,,,,
Consumer Nodebus 78,,,,,,
Consumer Nodebus 80,,,,,,
Consumer Nodebus 82,,,,,,
Consumer Nodebus 84,,,,,,
Consumer Nodebus 86,,,,,,
Consumer Nodebus 88,,,,,,
Consumer Nodebus 90,,,,,,
Consumer Nodebus 92,,,,,,
Consumer Nodebus 94,,,,,,
Consumer Nodebus 96,,,,,,
Consumer Nodebus 99,,,,,,
Consumer Nodebus 101,,,,,,
Consumer Nodebus 103,,,,,,
Consumer Nodebus 105,,,,,,
Consumer Nodebus 108,,,,,,
Consumer Nodebus 110,,,,,,
Consumer Nodebus 112,,,,,,
Consumer Nodebus 114,,,,,,
Consumer Nodebus 117,,,,,,
Consumer Nodebus 120,,,,,,
Consumer Nodebus 123,,,,,,
Consumer Nodebus 125,,,,,,
Consumer Nodebus 127,,,,,,
Consumer Nodebus 129,,,,,,
Consumer Nodebus 131,,,,,,
Consumer Nodebus 133,,,,,,
Consumer Nodebus 135,,,,,,
Consumer Nodebus 140,,,,,,
Consumer Nodebus 144,,,,,,
Consumer Nodebus 146,,,,,,
Consumer Nodebus 148,,,,,,
Consumer Nodebus 150,,,,,,
Consumer Nodebus 153,,,,,,
Consumer Nodebus 155,,,,,,
Consumer Nodebus 157,,,,,,
Consumer Nodebus 159,,,,,,
Consumer Nodebus 160,,,,,,
